,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015*
 World ," 2,205 "," 2,745 "," 3,368 "," 4,030 "," 4,640 "," 5,290 "," 5,863 "," 6,232 "," 6,666 "," 6,954 "," 7,085 "
Africa , 87 , 129 , 174 , 246 , 298 , 366 , 438 , 507 , 580 , 646 , 685 
Arab States , 84 , 125 , 173 , 213 , 263 , 310 , 349 , 379 , 405 , 409 , 412 
Asia & Pacific , 833 ," 1,074 "," 1,398 "," 1,773 "," 2,164 "," 2,614 "," 3,000 "," 3,205 "," 3,469 "," 3,663 "," 3,737 "
CIS , 166 , 227 , 267 , 312 , 355 , 377 , 358 , 368 , 386 , 389 , 391 
Europe , 550 , 610 , 677 , 714 , 717 , 709 , 730 , 743 , 749 , 754 , 757 
The Americas , 459 , 552 , 649 , 741 , 809 , 881 , 952 , 994 ," 1,041 "," 1,056 "," 1,066 "
